aX,aY,aZ,gX,gY,gZ
-0.465,0.895,2.223,13.184,41.443,147.034
-0.447,0.877,2.311,29.419,41.077,134.705
-0.457,0.926,2.344,44.861,44.006,125.732
-0.444,1.038,2.461,50.842,58.655,131.775
-0.473,1.25,2.522,52.063,78.735,132.935
-0.554,1.55,2.502,55.664,112.366,107.3
-0.586,1.586,2.342,48.401,120.789,89.905
-0.534,1.521,2.197,20.691,158.875,68.359
-0.521,1.49,2.101,9.46,170.471,55.786
-0.501,1.389,1.981,3.296,176.819,46.143
-0.526,1.312,1.828,-0.183,181.152,35.583
-0.516,1.259,1.706,-2.38,182.983,27.283
-0.48,1.189,1.575,-5.188,185.791,23.499
-0.517,1.166,1.361,-10.132,187.012,19.653
-0.557,1.15,1.158,-20.264,187.134,14.648
-0.497,1.102,1.007,-34.424,187.195,12.451
-0.431,1.016,0.912,-46.387,180.359,11.658
-0.434,0.952,0.815,-49.866,172.18,9.399
-0.487,1.124,0.747,-46.814,163.757,2.38
-0.534,1.332,0.683,-40.344,152.405,-17.944
-0.516,1.366,0.625,-23.926,141.174,-52.429
-0.498,1.234,0.545,-10.925,132.996,-82.031
-0.489,1.07,0.472,-14.465,126.709,-97.595
-0.48,0.94,0.406,-31.555,117.31,-103.455
-0.472,0.838,0.36,-50.781,107.971,-104.736
-0.425,0.72,0.279,-71.96,91.431,-112.732
-0.364,0.668,0.241,-74.951,85.266,-118.591
-0.333,0.613,0.19,-76.721,82.214,-122.009
-0.379,0.549,0.031,-88.684,79.956,-121.948
-0.442,0.434,-0.136,-108.521,61.218,-122.62
-0.468,0.212,-0.356,-112.61,47.791,-127.014
-0.439,0.081,-0.418,-112.061,31.921,-130.92
-0.456,-0.022,-0.486,-108.093,14.16,-134.888
-0.457,-0.123,-0.513,-106.873,-4.822,-135.437
-0.39,-0.222,-0.459,-110.413,-23.499,-131.042
-0.321,-0.239,-0.358,-120.422,-54.626,-120.239
-0.31,-0.246,-0.307,-126.648,-69.519,-115.784
-0.313,-0.346,-0.277,-133.484,-83.679,-116.394
-0.302,-0.507,-0.269,-145.447,-97.656,-116.455
-0.303,-0.75,-0.25,-161.682,-110.718,-109.497
-0.338,-1.073,-0.214,-171.57,-123.291,-98.694
-0.233,-1.528,-0.04,-151.123,-144.47,-70.007
-0.198,-1.57,0.038,-124.329,-155.579,-45.532
-0.197,-1.452,0.135,-95.886,-167.603,-21.057
-0.199,-1.35,0.232,-72.937,-180.176,-1.282
-0.212,-1.257,0.403,-65.43,-191.345,20.874
-0.129,-1.089,0.962,-76.416,-196.167,71.594
-0.048,-1.083,1.271,-72.632,-193.787,91.37
0.055,-1.028,1.497,-61.523,-189.514,102.478
0.111,-0.957,1.679,-44.25,-182.129,109.131
0.131,-0.78,1.807,-25.33,-170.532,116.455
0.179,-0.635,1.907,-7.446,-152.1,123.291
0.197,-0.493,1.927,2.014,-134.766,129.456
0.214,-0.374,1.901,1.343,-120.117,139.465
0.206,-0.283,1.824,-3.967,-104.797,147.156
0.154,-0.225,1.811,-11.108,-87.585,154.602
0.085,-0.219,1.876,-10.925,-72.998,168.152
0.048,-0.155,2.019,-3.723,-62.622,184.265
0.017,0.026,2.177,13.611,-51.453,196.777
-0.001,0.397,2.282,61.523,-33.203,205.261
-0.009,0.535,2.178,76.599,-24.17,195.007
-0.067,0.668,1.761,67.566,-2.991,169.678
-0.141,0.676,1.573,45.471,7.507,164.368
-0.296,0.586,1.418,22.217,19.043,165.344
-0.443,0.577,1.382,2.563,27.588,172.974
-0.531,0.643,1.438,-9.583,29.053,188.11
-0.578,0.783,1.599,-4.944,29.297,200.012
-0.54,1.042,1.814,19.775,31.921,203.003
-0.509,1.331,1.958,57.922,36.255,196.655
-0.579,1.567,2.037,96.863,41.26,180.664
-0.605,1.737,2.096,120.239,49.438,160.339
-0.593,1.899,2.145,120.3,60.059,138.611
-0.61,1.989,2.166,100.586,71.655,120.239
-0.574,2.046,2.218,69.092,85.815,111.084
-0.567,1.997,2.234,39.001,100.22,106.628
-0.575,2.003,2.206,17.883,114.075,97.595
-0.568,2.049,2.169,13.245,144.836,61.829
-0.562,2.067,2.087,17.029,155.09,36.804
-0.59,2.077,1.899,18.982,154.541,13.184
-0.607,2.026,1.682,19.165,155.518,-4.822
-0.578,1.955,1.575,15.808,165.161,-19.348
-0.564,1.879,1.444,10.193,168.884,-33.875
-0.571,1.638,1.193,7.019,164.001,-63.904
-0.567,1.497,1.061,2.991,161.682,-73.181
-0.565,1.385,0.965,-3.418,157.043,-76.355
-0.523,1.289,0.936,-7.568,150.513,-78.918
-0.473,1.253,0.761,6.287,135.193,-109.314
-0.516,1.155,0.537,-4.517,130.737,-141.235
-0.571,1.079,0.41,-30.457,125.916,-146.362
-0.625,0.864,0.25,-76.05,108.582,-158.813
-0.614,0.657,0.146,-83.069,96.13,-168.64
-0.639,0.462,-0.016,-81.299,83.74,-175.842
-0.666,0.329,-0.204,-74.646,73.242,-179.626
-0.677,0.199,-0.389,-66.04,63.416,-181.396
-0.681,0.116,-0.526,-58.655,52.063,-181.03
-0.713,0.03,-0.584,-47.607,40.283,-181.03
-0.725,-0.032,-0.57,-32.471,27.649,-184.387
-0.71,-0.135,-0.578,-22.217,12.756,-192.993
-0.686,-0.233,-0.592,-23.315,-2.258,-202.454
-0.68,-0.289,-0.62,-38.452,-17.212,-204.59
-0.725,-0.378,-0.686,-70.862,-34.119,-197.876
-0.765,-0.522,-0.717,-118.347,-54.382,-182.068
-0.769,-0.781,-0.695,-164.917,-76.05,-161.377
-0.77,-1.137,-0.679,-197.266,-95.886,-142.517
-0.728,-1.492,-0.599,-210.632,-112.488,-126.526
-0.621,-1.697,-0.422,-203.979,-124.329,-105.591
-0.541,-1.734,-0.235,-179.871,-138.184,-78.003
-0.486,-1.624,-0.06,-145.264,-155.579,-48.584
-0.463,-1.396,0.022,-114.929,-172.791,-20.508
-0.373,-1.216,0.094,-94.238,-185.913,0.183
-0.281,-1.044,0.221,-89.355,-196.106,15.686
-0.218,-0.866,0.365,-100.952,-202.515,28.931
-0.16,-0.725,0.505,-117.126,-200.012,39.795
-0.074,-0.67,0.666,-126.343,-192.932,46.143
-0.055,-0.645,0.873,-122.437,-184.937,52.917
-0.158,-0.69,1.246,-80.75,-165.833,64.575
-0.101,-0.625,1.558,-52.673,-156.677,81.543
-0.078,-0.486,1.773,-18.311,-152.283,94.666
0.037,-0.37,1.956,14.587,-145.935,102.966
0.12,-0.27,2.001,32.593,-136.597,108.154
0.149,-0.193,1.985,27.771,-124.39,116.638
0.183,-0.113,1.995,11.902,-105.225,129.944
0.15,-0.058,1.972,-5.249,-82.275,143.127
0.012,0.016,1.966,-15.625,-62.134,152.893
-0.009,0.053,2.079,-11.169,-45.166,161.072
0.054,0.154,2.238,4.578,-33.508,168.823
0.124,0.285,2.382,29.358,-25.085,174.133
0.05,0.428,2.406,58.228,-17.151,176.086
0.09,0.708,2.498,91.37,-3.845,161.255
0.105,0.775,2.519,103.21,7.141,147.156
0.093,0.826,2.516,107.361,22.949,135.254
-0.093,0.995,2.264,79.346,88.623,130.31
-0.19,1.073,2.149,70.251,104.736,130.798
-0.253,1.153,2.038,69.519,114.441,127.991
-0.29,1.236,1.956,78.064,120.728,120.178
-0.31,1.32,1.916,89.294,123.596,110.718
-0.285,1.429,1.941,96.008,123.962,103.21
