aX,aY,aZ,gX,gY,gZ
0.07,0.158,1.124,1.892,31.555,32.532
0.072,0.179,1.113,-0.916,28.076,27.893
0.069,0.198,1.111,-4.028,17.029,22.644
0.064,0.215,1.105,-7.141,5.249,16.907
0.059,0.243,1.112,-10.925,-1.831,11.108
0.042,0.27,1.112,-14.038,-3.906,6.836
0.034,0.31,1.096,-16.541,-3.723,2.686
0.041,0.357,1.093,-18.982,-4.395,-1.77
0.036,0.39,1.102,-20.447,-9.216,-5.554
0.022,0.412,1.111,-21.667,-15.625,-9.827
0.007,0.447,1.135,-23.499,-19.226,-14.587
-0.003,0.475,1.165,-24.597,-20.264,-19.47
-0.004,0.507,1.174,-25.635,-20.813,-23.865
0.001,0.545,1.182,-26.428,-22.827,-27.588
0.01,0.586,1.196,-25.879,-26.306,-31.189
0.016,0.611,1.201,-24.048,-28.259,-35.828
0.038,0.63,1.17,-22.827,-24.597,-41.748
0.053,0.641,1.143,-22.156,-17.334,-48.34
0.065,0.629,1.154,-19.836,-13.123,-53.833
0.082,0.583,1.186,-15.869,-12.207,-57.434
0.096,0.544,1.222,-13.184,-17.029,-60.73
0.081,0.516,1.288,-10.498,-28.748,-63.477
0.085,0.471,1.307,-7.385,-43.945,-67.078
0.042,0.425,1.304,-6.531,-56.335,-72.693
0.001,0.391,1.295,-8.728,-56.58,-78.369
-0.01,0.388,1.21,-12.207,-46.692,-84.656
0.005,0.378,1.139,-14.648,-31.311,-89.661
0.009,0.356,1.016,-14.16,-19.47,-91.553
-0.017,0.292,0.91,-11.719,-14.771,-91.003
-0.052,0.173,0.793,-10.193,-13.55,-89.294
-0.107,0.053,0.709,-10.559,-17.029,-85.327
-0.106,-0.061,0.642,-8.911,-25.94,-79.468
-0.091,-0.137,0.576,-2.93,-36.316,-70.679
-0.071,-0.147,0.569,8.789,-44.739,-52.917
-0.126,-0.111,0.554,23.56,-49.927,-29.358
-0.254,-0.006,0.547,35.156,-46.204,-3.784
-0.475,-0.006,0.523,41.077,-32.837,25.085
-0.908,-0.437,0.331,32.532,-22.461,51.086
-1.313,-1.269,0.02,14.648,-28.381,67.627
-1.549,-2.232,-0.295,3.601,-63.904,60.974
-1.53,-3.094,-0.407,15.198,-130.005,14.221
-1.137,-3.836,-0.057,80.139,-197.266,-80.505
-0.272,-3.965,0.789,183.105,-233.459,-204.224
0.711,-3.475,1.646,277.527,-203.674,-284.912
1.632,-2.354,2.09,304.199,-36.438,-276.855
1.854,-1.581,1.956,235.596,259.338,-196.96
1.787,-1.289,1.327,99.915,515.381,-50.11
1.183,-1.027,0.39,-39.429,587.219,100.22
0.4,-0.625,-0.21,-129.578,493.225,171.692
-0.132,-0.411,-0.474,-148.132,289.612,166.504
-0.345,-0.345,-0.398,-106.384,56.335,123.291
-0.359,-0.375,-0.022,-35.339,-119.568,70.007
-0.292,-0.489,0.483,32.349,-201.294,29.846
-0.303,-0.678,0.938,77.881,-208.069,8.057
-0.297,-0.848,1.254,90.149,-171.997,6.348
-0.321,-0.907,1.415,64.758,-129.761,13.306
-0.302,-0.845,1.403,17.273,-101.013,24.109
-0.281,-0.775,1.224,-33.936,-85.449,35.278
-0.257,-0.779,0.959,-69.702,-72.876,42.786
-0.216,-0.757,0.775,-78.918,-55.664,46.021
-0.206,-0.729,0.654,-70.679,-37.048,47.546
-0.228,-0.731,0.616,-51.208,-24.292,48.584
-0.298,-0.703,0.612,-28.687,-20.447,43.945
-0.332,-0.69,0.649,-9.583,-18.066,30.457
-0.298,-0.682,0.725,1.77,-16.663,12.695
-0.214,-0.716,0.789,5.371,-20.02,0.549
