aX,aY,aZ,gX,gY,gZ
-0.214,0.167,2.262,35.645,-196.533,-5.188
-0.179,-0.068,2.496,0.183,-182.922,-5.31
-0.162,-0.253,2.726,-12.634,-171.509,-4.7
-0.131,-0.37,2.99,0.366,-161.865,-4.883
-0.055,-0.366,3.266,21.729,-154.358,-4.456
-0.033,-0.262,3.425,38.269,-148.193,-4.578
0.224,-0.131,3.833,38.086,-139.832,-2.014
0.113,0.011,3.418,29.907,-144.775,0.916
0.158,0.193,2.995,11.475,-78.552,-35.522
0.166,-0.061,2.814,-17.273,-69.519,-32.898
-0.003,-0.111,2.619,-42.48,-71.35,-27.832
0.029,-0.205,2.684,-48.645,-54.688,-6.409
0.088,-0.243,2.762,-4.089,-21.179,-2.808
0.079,-0.103,2.609,14.709,-7.507,-6.165
0.056,-0.024,2.509,15.442,9.216,-4.395
0.057,-0.04,2.452,4.211,25.513,-0.244
0.024,-0.078,2.408,-7.874,37.109,4.639
0.004,-0.016,2.417,-18.005,42.908,11.292
0.083,0.013,2.452,-21.729,43.335,13.733
0.145,0.051,2.471,-19.653,41.443,9.094
0.172,0.17,2.492,-17.578,42.969,3.052
0.209,0.3,2.532,-22.888,44.678,-0.61
0.275,0.325,2.673,-47.241,54.626,-10.925
0.251,0.195,2.625,-56.152,68.665,-17.212
0.196,0.073,2.537,-65.491,87.097,-18.127
0.105,0.014,2.416,-72.754,106.323,-12.756
0.026,0.025,2.31,-78.918,121.948,-5.188
-0.043,0.0,2.186,-77.881,136.536,-1.77
-0.131,-0.064,2.009,-66.406,151.062,-4.822
-0.195,-0.12,1.834,-46.997,162.109,-11.902
-0.258,-0.098,1.645,-22.461,166.931,-21.484
-0.312,0.169,1.025,26.733,160.4,-63.232
-0.305,0.112,0.802,30.823,155.457,-72.815
-0.319,0.068,0.589,17.273,153.32,-70.19
-0.386,0.019,0.243,-26.794,150.146,-54.688
